Name,Address,Place_ID,Latitude,Longitude
A Fitness Garay,"Budapest, Garay tér 20",ChIJC-wWc7PdQUcRGAbY6BYuzr4,47.50377629999999,19.0858672
Ferencváros Kosár Club,"Budapest, Közraktár utca 18",ChIJFSMjvZ3dQUcR19DGB_TWIsQ,47.48362269999999,19.0622496
Oxy Fitt Fitness,"Budapest, Timur utca 103",ChIJrYmpjx7FQUcR2Bt2Kv-AF4A,47.53696059999999,19.2030406
Sugár Fitness Bp,"Budapest, Örs vezér tere 24",ChIJdWhIBKrcQUcRxbJDbgJged4,47.5042245,19.1376322
Tempelfit 2 fitness terem,"Budapest, Dózsa György út 19",ChIJ7XDDn4fcQUcRmf8EQ_ToX5c,47.50565719999999,19.0872615
MyTimeBuda,"Budapest, Királyhágó utca 2",ChIJQwt4AnndQUcRXb1pMcDwXDM,47.4952812,19.0229935
Fitlady Mozgásstúdió,"Budapest, Erzsébet körút 19",ChIJ0ZvMeO3dQUcR5cTAJLmU20Y,47.50007189999999,19.0691597
Global Fitness Budapest,"Budapest, Soroksári út 166",ChIJsQvuapzdQUcRhkcx3Vf0ltA,47.4433534,19.0935352
Urban Dojo,"Budapest, Szív utca 11",ChIJnf8vYXDcQUcR9s0a1mibBWA,47.5080897,19.0708211
Angel Land Stúdió,"Budapest, Reitter Ferenc utca 132",ChIJ_av80SHbQUcRZjymUZefnxo,47.54049739999999,19.0908516
WonderShape - Fitness Óbuda,"Budapest, Lajos utca 93-99",ChIJXykJVUTZQUcRxbtsiY9Fl0c,47.5332179,19.0412854
Downdog Jóga Hűvösvölgy,"Budapest, Hűvösvölgyi út 203",ChIJGy30xcDZQUcRFRMMxs2lKu4,47.5411987,18.9655885
ABCvitamin,"Budapest, Melinda út 30",ChIJ44wnPIjfQUcRyzqv1n5n5ZU,47.4929149,18.9905673
kinezjoga,"Budapest, Torbágy utca 14",ChIJFQkCNnTeQUcROKz6LGl3xnc,47.47132,18.998342
Satyananda Yoga Központ,"Budapest, Szent István körút 12",ChIJB4mn-g7cQUcRgF135DhsQi0,47.5125123,19.0502923
Csömöri terepbringapalya,"Csömör, Palotai út 4",ChIJKdAW8Q3FQUcRG0yrjWxd4zY,47.5468211,19.2188423
BOS GYM,"Budapest, Radnóti Miklós utca 38",ChIJhSAxYgTdQUcRtMDrJXoX99I,47.5162501,19.0494706
Leung Ting Wing Tsun Kung-fu Iskola (18. kerület),"Budapest, Lakatos út 30",ChIJZyVf21bCQUcRCJegmTYy1-g,47.450841,19.1721754
Everflow pilates,"Budapest, Kelén utca 2",ChIJO-sIQJTbQUcRiVRiIsDw8Sk,47.5462201,19.0648963
